# 2000
5.49116907, 4.59479951
3.08494248, 6.01345273
4.81424015, 5.77152590
4.05938816, 3.17096879
3.91892489, 5.50290343
4.95524119, 6.18709260
5.53852038, 3.18729480
5.61117981, 4.86169367
7.43421993, 4.71519722
5.26312039, 3.66696627
5.24807749, 5.85608395
5.75517100, 5.32962877
5.54809380, 5.43084295
3.49498871, 4.60547322
4.42309626, 5.30245149
4.64311903, 3.59726642
3.81182826, 4.62485181
5.13919284, 7.04510582
4.37450560, 2.79058377
5.71580173, 5.46439024
4.73961034, 4.72747200
4.75104916, 4.46151946
3.73027556, 3.87521023
5.38294112, 5.10991580
5.28676854, 5.19365061
3.37368328, 3.75239961
4.94609462, 5.51141109
4.88464018, 5.19074321
3.90191163, 5.31149930
4.00900322, 5.34863321
3.93678810, 5.03472208
5.17781638, 5.63313451
6.07521963, 4.90998463
6.49044478, 5.59137395
3.86653455, 5.03259948
7.72448008, 5.11894498
5.32423059, 7.19836443
5.27942635, 4.71268667
5.11592735, 4.86480849
4.32821915, 7.06449536
6.64009465, 5.95308509
6.10243666, 3.66686597
6.98756951, 7.36776836
4.40430886, 4.11883594
6.45821622, 4.76412590
4.30230770, 5.13820735
5.25917803, 5.80124128
5.22090493, 4.89044931
4.94527920, 4.19188243
4.55185515, 6.57585085
6.14591474, 4.22081124
5.83143760, 6.31929543
3.18197987, 4.20786743
5.39572742, 4.91132961
5.81067244, 5.75626796
3.92777880, 7.60948087
5.59804819, 6.54845470
3.58570748, 5.59824604
3.54931834, 5.23554260
4.93428652, 5.30795897
5.52689005, 5.28384406
3.73971682, 3.54865498
7.45289673, 3.82662591
5.49428028, 3.84852068
4.62301648, 5.52411556
3.53079328, 3.46610287
4.20275380, 5.04536237
5.66269364, 4.46475039
3.08289433, 4.41733119
4.46849136, 5.52583992
5.20120385, 4.18791189
5.13440209, 5.58103606
4.96320619, 2.56840070
5.29860057, 3.83660564
5.86382059, 3.57487085
4.87155538, 4.17177760
5.69552349, 6.65913316
6.48921840, 6.48149287
5.98938659, 4.55635314
4.87519144, 4.55400408
4.85011506, 3.89442540
4.99883925, 4.44499534
4.25196003, 6.21621125
5.13311944, 5.57176393
4.95770576, 3.29854099
5.30039753, 3.65727650
4.78000637, 4.32933740
5.19469057, 5.49247504
5.30681063, 3.87707616
4.66954099, 4.59296013
2.77091389, 5.08757182
5.48818743, 6.68597235
6.22150351, 4.64586397
5.63814720, 6.94939011
3.46760218, 3.51691275
6.22693540, 5.00613761
6.16597200, 6.16604737
5.31611690, 4.24940046
4.80098946, 4.56783280
4.00910755, 5.51678026
7.22701852, 5.10848873
5.07812688, 5.38592485
6.78477750, 4.78051839
5.23536014, 5.74259130
5.51749286, 4.11140137
4.45523319, 5.88314573
4.64345612, 4.58992514
4.50517651, 4.85147247
5.89004847, 5.73125497
5.09220385, 4.21399376
6.61218781, 5.76700073
4.20233969, 5.35872636
5.91877548, 5.12597420
3.20679154, 5.70794202
4.03139238, 3.40860649
4.35763973, 5.35266111
6.62952004, 4.43901842
3.45272031, 6.16157637
5.33295864, 4.75153221
5.37836627, 4.93604580
6.50299818, 5.77924573
5.14111178, 5.26347974
5.52637764, 5.24662037
4.45616577, 5.69542412
4.41211986, 6.04210563
5.73583508, 5.68337494
6.70033372, 5.91781311
4.80416485, 3.98988225
5.33844553, 6.47498337
4.71784603, 4.39987285
6.95624596, 6.69801040
5.65133701, 4.60665906
3.35116062, 6.27969642
6.44681071, 5.73206387
3.84263275, 5.31906233
4.91936759, 4.88991227
4.58616423, 5.44559916
4.57437548, 5.59317173
6.80854162, 5.54214757
4.17914446, 4.89723532
3.97894226, 2.53317863
3.83937399, 5.23945891
4.56059636, 6.81386554
4.52955168, 5.52535724
5.53043453, 3.81803220
4.21846715, 5.25220435
6.73636925, 3.61151047
5.09306376, 3.57676365
4.93855671, 4.01798951
5.01554618, 4.29894751
